#timestamp [ns],p_WS_R_x [m],p_WS_R_y [m],p_WS_R_z [m]
1548883269042005062,-6.3818,11.9051,0.1904
1548883269161235094,-6.3818,11.9051,0.1904
1548883269373769998,-6.3818,11.9051,0.1904
1548883269472532749,-6.3818,11.9051,0.1904
1548883269520613670,-6.3818,11.9051,0.1904
1548883269572897434,-6.3818,11.9051,0.1904
1548883269760413885,-6.3818,11.9051,0.1904
1548883269872280597,-6.3818,11.9051,0.1904
1548883269972970485,-6.3818,11.9051,0.1904
1548883270073132753,-6.3818,11.9051,0.1904
1548883270229223966,-6.3818,11.9051,0.1904
1548883270358049869,-6.3818,11.9051,0.1904
1548883270474077224,-6.3818,11.9051,0.1904
1548883270574042081,-6.3823,11.906,0.1904
1548883270718187570,-6.3818,11.9051,0.1904
1548883270772569894,-6.3818,11.9051,0.1904
1548883270836839914,-6.3818,11.9051,0.1904
1548883270956508159,-6.3818,11.9051,0.1904
1548883271073693752,-6.3818,11.9051,0.1904
1548883271228979825,-6.3823,11.906,0.1904
1548883271315044879,-6.3818,11.9051,0.1904
1548883271372684478,-6.3818,11.9051,0.1904
1548883271435934782,-6.3818,11.9051,0.1904
1548883271555922746,-6.3818,11.9051,0.1904
1548883271675196409,-6.3818,11.9051,0.1904
1548883271772597312,-6.3818,11.9051,0.1904
1548883271873750209,-6.3823,11.906,0.1904
1548883271972442626,-6.3818,11.9051,0.1904
1548883272034944295,-6.3818,11.9051,0.1904
1548883272154156208,-6.3818,11.9051,0.1904
1548883272273992300,-6.3818,11.9051,0.1904
1548883272373860120,-6.3818,11.9051,0.1904
1548883272473965406,-6.3818,11.9051,0.1904
1548883272573800802,-6.3818,11.9051,0.1904
1548883272752583980,-6.3818,11.9051,0.1904
1548883272873998165,-6.3818,11.9051,0.1904
1548883272973605871,-6.3818,11.9051,0.1904
1548883273073080301,-6.3818,11.9051,0.1904
1548883273231738567,-6.3818,11.9051,0.1904
1548883273351720094,-6.3818,11.9051,0.1904
1548883273475144147,-6.3818,11.9051,0.1904
1548883273573701143,-6.3818,11.9051,0.1904
1548883273710943460,-6.3818,11.9051,0.1904
1548883273772492170,-6.3818,11.9051,0.1904
1548883273830595254,-6.3818,11.9051,0.1904
1548883273950099468,-6.3818,11.9051,0.1904
1548883274076093435,-6.3818,11.9051,0.1904
1548883274189869642,-6.3818,11.9051,0.1904
1548883274229527950,-6.3818,11.9051,0.1904
1548883274308622837,-6.3818,11.9051,0.1904
1548883274374002218,-6.3818,11.9051,0.1904
1548883274428347349,-6.3818,11.9051,0.1903
1548883274548494577,-6.3818,11.9051,0.1904
1548883274674615859,-6.3818,11.9051,0.1904
1548883274772344827,-6.3818,11.9051,0.1904
1548883274873072385,-6.3814,11.9054,0.1904
1548883274972308158,-6.3798,11.9062,0.1904
1548883275073709011,-6.3805,11.9058,0.1904
1548883275229382753,-6.3832,11.9044,0.1904
1548883275360301017,-6.3608,11.854,0.1923
1548883275460184574,-6.373,11.8474,0.1923
1548883275519397258,-6.3623,11.8304,0.1922
1548883275604288816,-6.3544,11.8177,0.1904
1548883275728248119,-6.3521,11.8053,0.189
1548883275841885328,-6.3603,11.8009,0.189
1548883275973864793,-6.3501,11.7723,0.1865
1548883276022448301,-6.3491,11.7729,0.1865
1548883276100407123,-6.3455,11.7589,0.1865
1548883276217921972,-6.345,11.7308,0.1859
1548883276289047956,-6.351,11.7275,0.1859
1548883276339102506,-6.339,11.7113,0.185
1548883276408219337,-6.3438,11.7087,0.185
1548883276467421293,-6.3361,11.6924,0.1851
1548883276528982162,-6.3422,11.6891,0.1851
1548883276588092088,-6.3308,11.6703,0.1853
1548883276703101158,-6.3254,11.6538,0.1848
1548883276771533727,-6.3299,11.6514,0.1848
1548883276823469400,-6.3206,11.6325,0.1846
1548883276873325347,-6.3306,11.6271,0.1846
1548883276936766862,-6.3352,11.6246,0.1846
1548883276995138406,-6.3221,11.5998,0.1843
1548883277055631875,-6.3207,11.6006,0.1843
1548883277180386304,-6.3059,11.5665,0.1837
1548883277301885843,-6.3035,11.5474,0.1831
1548883277361376523,-6.303,11.5476,0.1831
1548883277424033164,-6.2933,11.5267,0.1834
1548883277481582880,-6.3014,11.5223,0.1834
1548883277544159412,-6.2869,11.4972,0.1847
1548883277601975917,-6.2922,11.4942,0.1847
1548883277741116762,-6.2854,11.482,0.1849
1548883277785365581,-6.2766,11.4629,0.1847
1548883277843571901,-6.2778,11.4622,0.1847
1548883277908024549,-6.2667,11.441,0.1834
1548883278031727790,-6.2546,11.4191,0.1833
1548883278143222570,-6.2539,11.4195,0.1833
1548883278275181293,-6.229,11.3692,0.1828
1548883278344988822,-6.2299,11.3687,0.1828
1548883278398017644,-6.2197,11.3539,0.1821
1548883278520105123,-6.2138,11.332,0.1814
1548883278645984172,-6.2063,11.3053,0.1809
1548883278760401010,-6.1977,11.2884,0.1809
1548883278847390413,-6.2018,11.2861,0.1809
1548883278950589895,-6.1953,11.2634,0.1812
1548883278999101400,-6.1807,11.2395,0.1805
1548883279119113445,-6.1737,11.2148,0.1803
1548883279240198373,-6.1643,11.1915,0.181
1548883279338397502,-6.1676,11.1896,0.181
1548883279398021221,-6.1591,11.1578,0.1809
1548883279458746433,-6.1643,11.1549,0.1809
1548883279518208742,-6.1576,11.1335,0.1802
1548883279578220844,-6.1605,11.1319,0.1802
1548883279727330446,-6.1387,11.0891,0.1787
1548883279819153308,-6.1479,11.084,0.1787
1548883279879229545,-6.135,11.0603,0.1783
1548883279971197128,-6.1235,11.0369,0.1786
1548883280018571615,-6.1252,11.036,0.1786
1548883280097045898,-6.1144,11.0076,0.1786
1548883280212342262,-6.108,10.9826,0.1788
1548883280332288980,-6.0919,10.9526,0.1786
1548883280383452177,-6.0929,10.9521,0.1786
1548883280614256143,-6.0813,10.9276,0.1777
