#timestamp [ns],p_WS_R_x [m],p_WS_R_y [m],p_WS_R_z [m],q_WS_x [],q_WS_y [],q_WS_z [],q_WS_w []
1552661321927256576,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000
1552661321960593408,-0.000194876,-0.000032857,-0.000051767,-0.000040651,0.000057499,-0.000021160,1.000000000
1552661321993931520,0.000404037,-0.000474552,0.000035270,-0.000214813,-0.000071530,-0.000134137,0.999999940
1552661322027269632,-0.000186461,0.000055511,0.000005691,-0.000125837,0.000060632,-0.000077461,1.000000000
1552661322060606464,-0.000301251,-0.000403352,-0.000037164,-0.000148732,0.000087435,-0.000008014,1.000000000
1552661322093944576,-0.000080408,0.000216880,0.000059888,-0.000017428,0.000049831,-0.000023862,1.000000000
1552661322127282432,0.000669406,0.000302869,-0.000120238,0.000121056,-0.000154340,0.000076844,1.000000000
1552661322160620544,0.000083251,0.000022961,-0.000094849,-0.000004841,-0.000014419,0.000034375,1.000000000
1552661322193957632,0.000661943,-0.000091792,-0.000227664,0.000080496,-0.000173597,0.000192520,0.999999940
1552661322227295488,0.000346204,-0.001271245,0.000102733,0.001185579,-0.000127380,0.002124888,0.999997020
1552661322260633600,0.000993812,-0.000371420,-0.000264566,0.003817623,-0.000377176,0.005082991,0.999979734
1552661322293971456,0.000623218,-0.000857555,-0.000220983,0.002601611,-0.000302910,0.003343726,0.999991000
1552661322327308544,0.000221095,-0.000922510,-0.000295231,0.000025405,-0.000272497,0.000420062,0.999999881
1552661322360646656,0.000485760,-0.000784920,-0.000096607,-0.001013989,-0.000358085,-0.000356918,0.999999344
1552661322393984512,0.000321965,-0.000664958,0.000256833,0.000503599,-0.000257265,0.001151521,0.999999166
1552661322427321600,0.000890196,0.000315093,-0.000117167,0.001007952,-0.000431354,0.001396656,0.999998391
1552661322460659456,-0.000014720,0.000213887,0.000082746,0.000272056,-0.000274851,0.000257329,0.999999881
1552661322493997568,0.000446060,-0.000179540,-0.000211214,-0.000123621,-0.000354094,0.000147340,0.999999940
1552661322527335424,0.000144898,-0.000158272,-0.000050764,0.000652300,-0.000257966,0.001203210,0.999999046
1552661322560672512,-0.000047180,-0.000989746,-0.000444329,0.001234288,-0.000218131,0.002115697,0.999996960
1552661322594010624,0.000376216,0.000124780,-0.000254055,0.002423273,-0.000420843,0.003230632,0.999991775
1552661322627348480,0.001092433,-0.000923378,-0.000465975,0.003657523,-0.000563826,0.005401713,0.999978542
1552661322660686592,0.000448622,0.000213961,-0.000204202,0.004381131,-0.000325497,0.006630290,0.999968350
1552661322694023424,0.000577789,0.000277267,-0.000386893,0.003869819,-0.000366321,0.006081522,0.999973953
1552661322727361536,0.000532726,-0.000351580,-0.000446754,0.002788762,-0.000338090,0.004941008,0.999983847
1552661322760699648,0.000589081,-0.001501833,-0.000364465,0.000838123,0.000002428,0.003469701,0.999993622
1552661322794036480,-0.000459954,-0.000806075,0.000663142,-0.000627584,0.002435536,0.003121638,0.999991953
1552661322827374592,-0.001943195,-0.001532609,0.002026608,-0.002280556,0.005566026,0.005511581,0.999966741
1552661322860712448,-0.005727482,-0.004309723,0.003402547,-0.007525599,0.007737774,0.008631045,0.999904513
1552661322894050560,-0.006888182,-0.006420816,0.004541029,-0.015150333,0.010204932,0.012938342,0.999749422
1552661322927387648,-0.009746600,-0.012243730,0.006752117,-0.023892840,0.015577042,0.017818730,0.999434352
1552661322960725504,-0.012087104,-0.017301857,0.010672141,-0.030519936,0.023593714,0.021246415,0.999029756
1552661322994063616,-0.015313481,-0.022034945,0.015288351,-0.032022867,0.033066917,0.022947213,0.998676419
1552661323027401472,-0.018181708,-0.024995223,0.021856563,-0.029213369,0.043603320,0.022088762,0.998377383
1552661323060738560,-0.017912379,-0.029279931,0.028414439,-0.026411768,0.055077486,0.019038716,0.997951090
1552661323094076416,-0.018555030,-0.035813514,0.035077408,-0.026865631,0.066545270,0.014656106,0.997313976
1552661323127414528,-0.018530929,-0.038860906,0.043153804,-0.029101891,0.075594589,0.009811732,0.996665597
1552661323160751616,-0.017079024,-0.043548197,0.050246645,-0.032342747,0.081939138,0.005198274,0.996098816
1552661323194089472,-0.015880939,-0.046358489,0.057872321,-0.034634154,0.085583344,0.000581792,0.995728731
1552661323227427584,-0.015323658,-0.049851932,0.065354384,-0.036241535,0.087145269,-0.003243969,0.995530903
1552661323260765440,-0.015026196,-0.052671582,0.073690139,-0.037032973,0.087639242,-0.005738683,0.995447099
1552661323294102528,-0.013412924,-0.057731207,0.082012385,-0.038748559,0.088171445,-0.007782608,0.995320916
