#timestamp [ns],p_WS_R_x [m],p_WS_R_y [m],p_WS_R_z [m]
1548809198553426027,27.0749,0.2775,-0.3122
1548809198652035474,27.0749,0.2774,-0.312
1548809198697881698,27.0749,0.2764,-0.3123
1548809198819100141,27.0749,0.2753,-0.3122
1548809198940683126,27.0749,0.2774,-0.312
1548809199053517580,27.0749,0.2774,-0.312
1548809199209237813,27.0749,0.2771,-0.3123
1548809199352354526,27.0749,0.275,-0.3119
1548809199423154592,27.0749,0.2764,-0.3126
1548809199543772220,27.0749,0.2764,-0.3122
1548809199653563499,27.0749,0.2771,-0.3122
1548809199753736972,27.0749,0.2767,-0.3119
1548809199905626296,27.0749,0.2771,-0.3119
1548809199952985048,27.0749,0.2778,-0.3119
1548809200028169631,27.0749,0.2778,-0.3123
1548809200148148298,27.0749,0.2757,-0.3129
1548809200208986282,27.0749,0.2771,-0.3129
1548809200351567268,27.0749,0.2757,-0.3123
1548809200389509201,27.0749,0.2757,-0.3129
1548809200452891349,27.0749,0.276,-0.3129
1548809200511553287,27.0749,0.2764,-0.3122
1548809200653300046,27.0749,0.2771,-0.3122
1548809200753078222,27.0749,0.2753,-0.3122
1548809200952628374,27.0749,0.2774,-0.3126
1548809201051592588,27.0749,0.2757,-0.3123
1548809201210021018,27.0749,0.276,-0.3122
1548809201322519540,27.0749,0.2767,-0.3119
1548809201443756818,27.0749,0.2767,-0.3115
1548809201553022146,27.0749,0.2757,-0.3115
1548809201651658773,27.0749,0.2778,-0.3122
1548809201751952409,27.0749,0.276,-0.3129
1548809201927690744,27.0749,0.2767,-0.3122
1548809202054810523,27.0749,0.2771,-0.3122
1548809202169158220,27.0749,0.2764,-0.3122
1548809202291082859,27.0749,0.2778,-0.3123
1548809202353799104,27.0749,0.2774,-0.3123
1548809202409644126,27.0749,0.275,-0.3129
1548809202530902624,27.0749,0.2757,-0.3129
1548809202654668569,27.0749,0.2774,-0.3123
1548809202752624988,27.0749,0.2764,-0.3123
1548809202894243955,27.0749,0.2767,-0.3123
1548809202953521490,27.0749,0.2767,-0.3123
1548809203014612913,27.0749,0.2771,-0.3119
1548809203136816024,27.0749,0.2753,-0.3122
1548809203208714246,27.0749,0.276,-0.3122
1548809203352699041,27.0749,0.276,-0.3123
1548809203452619314,27.0749,0.2767,-0.3123
1548809203705600738,27.0749,0.276,-0.3123
1548809203853617668,27.0759,0.2753,-0.3132
1548809203953164577,27.0749,0.2771,-0.3125
1548809204053338289,27.0749,0.2767,-0.3123
1548809204103277921,27.0749,0.2753,-0.3126
1548809204209158658,27.0749,0.2767,-0.3126
1548809204343909978,27.0379,0.2771,-0.3102
1548809204452114582,27.0379,0.2753,-0.3102
1548809204553323268,27.0209,0.2759,-0.3102
1548809204653187990,27.0009,0.2767,-0.3104
1548809204752952575,26.9839,0.2751,-0.3099
1548809204941437721,26.9439,0.2751,-0.3104
1548809205051807165,26.9439,0.2754,-0.3104
1548809205211618661,26.9039,0.2753,-0.311
1548809205353270053,26.8809,0.2758,-0.31
1548809205427264690,26.8539,0.2769,-0.3084
1548809205554750204,26.8259,0.278,-0.3085
1548809205653097867,26.8259,0.2808,-0.3085
1548809205751855134,26.7989,0.2801,-0.308
1548809205907705545,26.7348,0.2835,-0.3097
1548809205976944684,26.7348,0.2875,-0.3097
1548809206025761842,26.6988,0.2858,-0.3101
1548809206120664596,26.6987,0.2878,-0.3101
1548809206225383281,26.6587,0.2881,-0.3101
1548809206383062124,26.5697,0.2905,-0.3116
1548809206486253499,26.5696,0.2988,-0.3116
1548809206546787500,26.5226,0.2986,-0.3118
1548809206626250267,26.4756,0.2963,-0.312
1548809206687859296,26.4756,0.2971,-0.312
1548809206868113040,26.3816,0.2972,-0.31
1548809206990318298,26.3356,0.2989,-0.3105
1548809207090732336,26.3355,0.3033,-0.3105
1548809207189543485,26.2905,0.3049,-0.3118
1548809207348734617,26.1965,0.305,-0.3121
1548809207471311330,26.1534,0.3055,-0.313
1548809207591863632,26.1534,0.308,-0.313
1548809207690752506,26.1084,0.3069,-0.3126
1548809207829320430,26.0224,0.3056,-0.3121
1548809207888767957,26.0224,0.3042,-0.3121
1548809207947762489,25.9755,0.3033,-0.3122
1548809208068746805,25.9315,0.3018,-0.3123
1548809208191859960,25.8875,0.3009,-0.3137
1548809208306917667,25.8424,0.303,-0.3123
1548809208389042377,25.8424,0.305,-0.3123
1548809208427680253,25.8014,0.3041,-0.3141
1548809208490646123,25.8014,0.3048,-0.3141
1548809208547852516,25.7564,0.3059,-0.314
1548809208673852443,25.7084,0.3046,-0.3153
1548809208796931028,25.6644,0.3037,-0.3151
1548809208913260459,25.6184,0.3028,-0.3148
1548809209024968624,25.6184,0.3017,-0.3148
1548809209125516176,25.5694,0.3012,-0.3161
1548809209228325843,25.5244,0.2992,-0.3151
1548809209391703128,25.4334,0.2984,-0.3137
