timestamp (ns), T_wf(00), T_wf(01), T_wf(02), T_wf(03), T_wf(10), T_wf(11), T_wf(12), T_wf(13), T_wf(20), T_wf(21), T_wf(22), T_wf(23)
1677765303739000064,0.99924,-0.03131,-0.02325,6.55180,-0.03523,-0.98044,-0.19366,-33.75876,-0.01673,0.19434,-0.98079,-1.74680
1677765303749000192,0.99924,-0.03137,-0.02331,6.55183,-0.03529,-0.98047,-0.19346,-33.75903,-0.01679,0.19413,-0.98083,-1.74680
1677765303759000064,0.99923,-0.03144,-0.02344,6.55185,-0.03538,-0.98053,-0.19315,-33.75935,-0.01691,0.19383,-0.98089,-1.74680
1677765303768999936,0.99922,-0.03152,-0.02361,6.55187,-0.03549,-0.98060,-0.19277,-33.75971,-0.01708,0.19346,-0.98096,-1.74680
1677765303779000064,0.99922,-0.03161,-0.02380,6.55189,-0.03561,-0.98068,-0.19234,-33.76013,-0.01726,0.19304,-0.98104,-1.74680
1677765303788999936,0.99921,-0.03171,-0.02404,6.55190,-0.03574,-0.98078,-0.19182,-33.76061,-0.01749,0.19253,-0.98114,-1.74680
1677765303799000064,0.99920,-0.03184,-0.02432,6.55192,-0.03591,-0.98089,-0.19124,-33.76116,-0.01777,0.19196,-0.98124,-1.74680
1677765303808999936,0.99919,-0.03199,-0.02461,6.55195,-0.03611,-0.98100,-0.19063,-33.76177,-0.01804,0.19137,-0.98135,-1.74690
1677765303819000064,0.99917,-0.03220,-0.02488,6.55199,-0.03635,-0.98111,-0.19002,-33.76245,-0.01829,0.19077,-0.98146,-1.74690
1677765303828999936,0.99916,-0.03244,-0.02510,6.55220,-0.03661,-0.98121,-0.18942,-33.76368,-0.01849,0.19018,-0.98158,-1.74700
1677765303839000064,0.99915,-0.03268,-0.02532,6.55243,-0.03688,-0.98132,-0.18882,-33.76505,-0.01868,0.18959,-0.98169,-1.74720
1677765303848999936,0.99913,-0.03288,-0.02554,6.55270,-0.03711,-0.98143,-0.18822,-33.76653,-0.01888,0.18900,-0.98180,-1.74730
