timestamp (ns), T_wf(00), T_wf(01), T_wf(02), T_wf(03), T_wf(10), T_wf(11), T_wf(12), T_wf(13), T_wf(20), T_wf(21), T_wf(22), T_wf(23)
1677764698808000000,1.00000,-0.00000,-0.00000,-0.00000,-0.00000,1.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000
1677764698818000128,1.00000,0.00016,0.00009,0.00020,-0.00016,1.00000,-0.00014,-0.00007,-0.00009,0.00014,1.00000,0.00010
1677764698828000000,1.00000,0.00033,0.00019,0.00043,-0.00033,1.00000,-0.00027,-0.00015,-0.00020,0.00027,1.00000,0.00020
1677764698838000128,1.00000,0.00052,0.00032,0.00069,-0.00052,1.00000,-0.00040,-0.00024,-0.00032,0.00040,1.00000,0.00019
1677764698848000000,1.00000,0.00075,0.00045,0.00096,-0.00075,1.00000,-0.00052,-0.00035,-0.00045,0.00052,1.00000,0.00029
1677764698858000128,1.00000,0.00101,0.00058,0.00128,-0.00101,1.00000,-0.00061,-0.00047,-0.00058,0.00061,1.00000,0.00039
1677764698868000000,1.00000,0.00132,0.00072,0.00161,-0.00132,1.00000,-0.00067,-0.00061,-0.00072,0.00067,1.00000,0.00038
1677764698878000128,1.00000,0.00165,0.00090,0.00198,-0.00165,1.00000,-0.00070,-0.00077,-0.00090,0.00069,1.00000,0.00048
1677764698888000000,1.00000,0.00202,0.00107,0.00237,-0.00202,1.00000,-0.00071,-0.00093,-0.00108,0.00071,1.00000,0.00057
1677764698898000128,1.00000,0.00241,0.00126,0.00278,-0.00241,1.00000,-0.00071,-0.00110,-0.00126,0.00071,1.00000,0.00056
1677764698908000000,1.00000,0.00281,0.00145,0.00322,-0.00281,1.00000,-0.00070,-0.00130,-0.00145,0.00069,1.00000,0.00066
1677764698917999872,0.99999,0.00320,0.00163,0.00368,-0.00320,0.99999,-0.00067,-0.00148,-0.00163,0.00067,1.00000,0.00065
1677764698928000000,0.99999,0.00359,0.00184,0.00415,-0.00359,0.99999,-0.00068,-0.00166,-0.00185,0.00067,1.00000,0.00075
1677764698938000128,0.99999,0.00396,0.00203,0.00519,-0.00396,0.99999,-0.00066,-0.00191,-0.00203,0.00065,1.00000,0.00084
1677764698948000256,0.99999,0.00431,0.00219,0.00626,-0.00431,0.99999,-0.00063,-0.00215,-0.00219,0.00062,1.00000,0.00093
1677764698958000128,0.99999,0.00464,0.00238,0.00738,-0.00464,0.99999,-0.00056,-0.00239,-0.00238,0.00055,1.00000,0.00103
1677764698968000256,0.99998,0.00497,0.00255,0.00853,-0.00497,0.99999,-0.00049,-0.00263,-0.00255,0.00048,1.00000,0.00112
1677764698978000128,0.99998,0.00530,0.00270,0.00973,-0.00530,0.99999,-0.00042,-0.00285,-0.00270,0.00041,1.00000,0.00121
1677764698988000256,0.99998,0.00564,0.00281,0.01096,-0.00563,0.99998,-0.00032,-0.00307,-0.00281,0.00031,1.00000,0.00131
1677764698998000128,0.99998,0.00599,0.00285,0.01225,-0.00599,0.99998,-0.00024,-0.00325,-0.00285,0.00022,1.00000,0.00141
1677764699008000256,0.99998,0.00635,0.00289,0.01357,-0.00635,0.99998,-0.00016,-0.00343,-0.00289,0.00015,1.00000,0.00150
1677764699018000128,0.99997,0.00671,0.00289,0.01494,-0.00671,0.99998,-0.00006,-0.00359,-0.00289,0.00004,1.00000,0.00170
1677764699028000000,0.99997,0.00705,0.00283,0.01635,-0.00705,0.99998,0.00006,-0.00370,-0.00283,-0.00008,1.00000,0.00180
1677764699038000128,0.99997,0.00740,0.00271,0.01780,-0.00740,0.99997,0.00018,-0.00379,-0.00271,-0.00020,1.00000,0.00190
