timestamp (ns), T_wf(00), T_wf(01), T_wf(02), T_wf(03), T_wf(10), T_wf(11), T_wf(12), T_wf(13), T_wf(20), T_wf(21), T_wf(22), T_wf(23)
1677764046614000384,0.99944,-0.03234,-0.00835,0.90616,-0.03300,-0.91789,-0.39546,-13.85530,0.00512,0.39551,-0.91845,-0.99000
1677764046624000256,0.99944,-0.03231,-0.00855,0.90626,-0.03306,-0.91789,-0.39546,-13.85549,0.00493,0.39552,-0.91845,-0.99000
1677764046634000384,0.99944,-0.03225,-0.00882,0.90636,-0.03311,-0.91789,-0.39545,-13.85568,0.00466,0.39552,-0.91845,-0.98990
1677764046644000256,0.99944,-0.03219,-0.00920,0.90648,-0.03320,-0.91789,-0.39545,-13.85587,0.00428,0.39553,-0.91844,-0.98980
1677764046654000384,0.99944,-0.03215,-0.00969,0.90662,-0.03336,-0.91788,-0.39544,-13.85608,0.00382,0.39554,-0.91844,-0.98970
1677764046664000256,0.99943,-0.03211,-0.01029,0.90678,-0.03356,-0.91788,-0.39544,-13.85630,0.00325,0.39556,-0.91844,-0.98960
1677764046674000384,0.99942,-0.03209,-0.01101,0.90698,-0.03382,-0.91788,-0.39542,-13.85654,0.00258,0.39557,-0.91843,-0.98950
1677764046684000256,0.99942,-0.03206,-0.01179,0.90720,-0.03411,-0.91787,-0.39540,-13.85684,0.00186,0.39558,-0.91843,-0.98940
1677764046694000128,0.99941,-0.03205,-0.01260,0.90745,-0.03442,-0.91788,-0.39536,-13.85719,0.00111,0.39556,-0.91844,-0.98930
1677764046704000256,0.99940,-0.03206,-0.01342,0.90774,-0.03475,-0.91791,-0.39527,-13.85763,0.00035,0.39550,-0.91847,-0.98920
1677764046714000128,0.99938,-0.03210,-0.01421,0.90807,-0.03511,-0.91795,-0.39515,-13.85818,-0.00036,0.39540,-0.91851,-0.98910
1677764046724000256,0.99937,-0.03219,-0.01492,0.90845,-0.03547,-0.91800,-0.39499,-13.85882,-0.00098,0.39527,-0.91856,-0.98900
1677764046734000128,0.99936,-0.03232,-0.01552,0.90886,-0.03582,-0.91807,-0.39481,-13.85959,-0.00149,0.39511,-0.91863,-0.98900
1677764046744000512,0.99934,-0.03251,-0.01595,0.90932,-0.03616,-0.91813,-0.39463,-13.86048,-0.00181,0.39495,-0.91870,-0.98900
1677764046754000384,0.99933,-0.03273,-0.01624,0.90983,-0.03648,-0.91818,-0.39449,-13.86147,-0.00199,0.39482,-0.91876,-0.98910
1677764046764000512,0.99932,-0.03294,-0.01651,0.91038,-0.03678,-0.91820,-0.39440,-13.86252,-0.00216,0.39474,-0.91879,-0.98920
1677764046774000384,0.99931,-0.03313,-0.01683,0.91096,-0.03708,-0.91820,-0.39438,-13.86362,-0.00239,0.39474,-0.91879,-0.98930
1677764046784000512,0.99930,-0.03326,-0.01718,0.91158,-0.03734,-0.91816,-0.39444,-13.86475,-0.00266,0.39480,-0.91876,-0.98930
1677764046794000384,0.99929,-0.03330,-0.01757,0.91221,-0.03753,-0.91810,-0.39456,-13.86594,-0.00299,0.39494,-0.91870,-0.98920
1677764046804000256,0.99929,-0.03328,-0.01794,0.91288,-0.03766,-0.91803,-0.39472,-13.86717,-0.00333,0.39512,-0.91862,-0.98910
1677764046814000384,0.99928,-0.03326,-0.01835,0.91357,-0.03780,-0.91795,-0.39490,-13.86842,-0.00371,0.39531,-0.91854,-0.98900
1677764046824000256,0.99927,-0.03326,-0.01881,0.91428,-0.03799,-0.91786,-0.39509,-13.86972,-0.00413,0.39552,-0.91845,-0.98900
1677764046834000384,0.99926,-0.03334,-0.01913,0.91503,-0.03819,-0.91777,-0.39527,-13.87110,-0.00438,0.39571,-0.91837,-0.98900
1677764046844000256,0.99926,-0.03342,-0.01929,0.91580,-0.03833,-0.91770,-0.39543,-13.87254,-0.00449,0.39587,-0.91829,-0.98900
1677764046854000384,0.99925,-0.03350,-0.01934,0.91657,-0.03842,-0.91763,-0.39557,-13.87404,-0.00449,0.39602,-0.91823,-0.98900
1677764046864000256,0.99925,-0.03368,-0.01918,0.91737,-0.03853,-0.91757,-0.39570,-13.87561,-0.00427,0.39614,-0.91818,-0.98910
1677764046874000384,0.99925,-0.03398,-0.01879,0.91818,-0.03864,-0.91752,-0.39580,-13.87724,-0.00379,0.39622,-0.91815,-0.98930
1677764046884000256,0.99924,-0.03436,-0.01826,0.91977,-0.03878,-0.91748,-0.39588,-13.88054,-0.00315,0.39629,-0.91812,-0.98950
1677764046894000384,0.99924,-0.03475,-0.01768,0.92134,-0.03891,-0.91744,-0.39596,-13.88388,-0.00246,0.39634,-0.91810,-0.98970
1677764046904000256,0.99924,-0.03512,-0.01714,0.92288,-0.03904,-0.91741,-0.39602,-13.88720,-0.00182,0.39639,-0.91808,-0.98990
1677764046914000384,0.99924,-0.03539,-0.01661,0.92437,-0.03908,-0.91739,-0.39606,-13.89051,-0.00122,0.39641,-0.91807,-0.99010
1677764046924000256,0.99924,-0.03559,-0.01610,0.92580,-0.03906,-0.91738,-0.39610,-13.89381,-0.00067,0.39643,-0.91807,-0.99020
1677764046934000128,0.99924,-0.03574,-0.01572,0.92719,-0.03904,-0.91736,-0.39614,-13.89706,-0.00026,0.39645,-0.91806,-0.99030
1677764046944000256,0.99924,-0.03579,-0.01542,0.92852,-0.03897,-0.91735,-0.39617,-13.90027,0.00004,0.39647,-0.91805,-0.99040
1677764046954000128,0.99924,-0.03584,-0.01519,0.92981,-0.03893,-0.91734,-0.39619,-13.90344,0.00026,0.39648,-0.91804,-0.99050
1677764046964000256,0.99925,-0.03585,-0.01494,0.93106,-0.03884,-0.91734,-0.39620,-13.90661,0.00050,0.39648,-0.91804,-0.99040
1677764046974000128,0.99925,-0.03575,-0.01457,0.93226,-0.03859,-0.91735,-0.39622,-13.90979,0.00080,0.39648,-0.91804,-0.99040
1677764046984000256,0.99927,-0.03562,-0.01414,0.93343,-0.03831,-0.91736,-0.39622,-13.91294,0.00114,0.39647,-0.91805,-0.99020
1677764046994000384,0.99928,-0.03554,-0.01366,0.93460,-0.03804,-0.91738,-0.39620,-13.91611,0.00155,0.39643,-0.91806,-0.99010
1677764047004000512,0.99928,-0.03550,-0.01306,0.93577,-0.03777,-0.91741,-0.39614,-13.91928,0.00208,0.39635,-0.91810,-0.99000
1677764047014000384,0.99929,-0.03554,-0.01239,0.93694,-0.03754,-0.91747,-0.39604,-13.92246,0.00270,0.39622,-0.91815,-0.99000
1677764047024000512,0.99930,-0.03564,-0.01172,0.93812,-0.03737,-0.91754,-0.39589,-13.92564,0.00335,0.39605,-0.91822,-0.99000
1677764047034000384,0.99930,-0.03576,-0.01115,0.93931,-0.03726,-0.91761,-0.39574,-13.92875,0.00392,0.39587,-0.91830,-0.99000
1677764047044000512,0.99930,-0.03597,-0.01072,0.94051,-0.03727,-0.91768,-0.39557,-13.93179,0.00439,0.39569,-0.91838,-0.99010
1677764047054000384,0.99929,-0.03619,-0.01038,0.94174,-0.03735,-0.91775,-0.39539,-13.93478,0.00479,0.39550,-0.91845,-0.99020
1677764047064000256,0.99928,-0.03648,-0.01017,0.94300,-0.03753,-0.91781,-0.39523,-13.93769,0.00509,0.39533,-0.91852,-0.99030
1677764047074000384,0.99927,-0.03676,-0.01004,0.94427,-0.03773,-0.91785,-0.39513,-13.94052,0.00531,0.39522,-0.91857,-0.99040
1677764047084000256,0.99927,-0.03692,-0.00991,0.94555,-0.03783,-0.91786,-0.39510,-13.94326,0.00549,0.39519,-0.91858,-0.99040
1677764047094000384,0.99926,-0.03709,-0.00976,0.94685,-0.03792,-0.91783,-0.39516,-13.94594,0.00570,0.39524,-0.91856,-0.99050
