timestamp (ns), T_wf(00), T_wf(01), T_wf(02), T_wf(03), T_wf(10), T_wf(11), T_wf(12), T_wf(13), T_wf(20), T_wf(21), T_wf(22), T_wf(23)
1677766517599000320,0.99967,-0.02269,0.01191,6.91587,-0.02474,-0.97541,0.21901,-30.03727,0.00665,-0.21923,-0.97565,-1.83010
1677766517609000192,0.99966,-0.02295,0.01217,6.91619,-0.02505,-0.97560,0.21810,-30.03698,0.00687,-0.21833,-0.97585,-1.83030
1677766517619000320,0.99965,-0.02327,0.01232,6.91654,-0.02539,-0.97581,0.21714,-30.03667,0.00697,-0.21738,-0.97606,-1.83050
1677766517629000192,0.99965,-0.02364,0.01226,6.91685,-0.02574,-0.97599,0.21630,-30.03639,0.00685,-0.21654,-0.97625,-1.83060
1677766517639000064,0.99964,-0.02390,0.01202,6.91706,-0.02593,-0.97610,0.21575,-30.03618,0.00658,-0.21598,-0.97638,-1.83060
1677766517649000192,0.99964,-0.02410,0.01170,6.91715,-0.02606,-0.97615,0.21554,-30.03608,0.00622,-0.21577,-0.97643,-1.83050
1677766517659000064,0.99964,-0.02425,0.01140,6.91713,-0.02614,-0.97612,0.21564,-30.03609,0.00590,-0.21586,-0.97641,-1.83050
1677766517669000192,0.99964,-0.02427,0.01126,6.91702,-0.02613,-0.97605,0.21597,-30.03619,0.00575,-0.21619,-0.97633,-1.83050
1677766517679000064,0.99964,-0.02428,0.01121,6.91688,-0.02613,-0.97596,0.21638,-30.03632,0.00569,-0.21660,-0.97624,-1.83040
1677766517689000192,0.99964,-0.02426,0.01115,6.91676,-0.02610,-0.97588,0.21673,-30.03643,0.00563,-0.21694,-0.97617,-1.83040
1677766517699000064,0.99965,-0.02419,0.01111,6.91669,-0.02603,-0.97584,0.21693,-30.03650,0.00559,-0.21714,-0.97612,-1.83040
1677766517709000192,0.99965,-0.02414,0.01111,6.91669,-0.02597,-0.97584,0.21691,-30.03649,0.00560,-0.21713,-0.97613,-1.83040
1677766517719000064,0.99965,-0.02407,0.01113,6.91675,-0.02591,-0.97589,0.21672,-30.03642,0.00565,-0.21693,-0.97617,-1.83030
1677766517729000448,0.99965,-0.02401,0.01116,6.91684,-0.02586,-0.97595,0.21644,-30.03633,0.00569,-0.21665,-0.97623,-1.83030
1677766517739000320,0.99965,-0.02398,0.01123,6.91693,-0.02584,-0.97602,0.21616,-30.03624,0.00577,-0.21637,-0.97629,-1.83030
1677766517749000192,0.99965,-0.02391,0.01138,6.91699,-0.02580,-0.97606,0.21597,-30.03620,0.00595,-0.21619,-0.97633,-1.83040
1677766517759000320,0.99965,-0.02386,0.01159,6.91700,-0.02580,-0.97607,0.21593,-30.03620,0.00616,-0.21616,-0.97634,-1.83040
1677766517769000192,0.99965,-0.02386,0.01177,6.91696,-0.02584,-0.97604,0.21603,-30.03625,0.00633,-0.21626,-0.97632,-1.83050
1677766517779000320,0.99964,-0.02388,0.01188,6.91690,-0.02589,-0.97600,0.21623,-30.03633,0.00643,-0.21646,-0.97627,-1.83050
1677766517789000192,0.99964,-0.02391,0.01195,6.91683,-0.02593,-0.97595,0.21645,-30.03641,0.00649,-0.21668,-0.97622,-1.83060
1677766517799000320,0.99964,-0.02393,0.01200,6.91677,-0.02596,-0.97591,0.21662,-30.03647,0.00653,-0.21685,-0.97618,-1.83060
1677766517809000192,0.99964,-0.02395,0.01202,6.91675,-0.02599,-0.97590,0.21668,-30.03649,0.00654,-0.21692,-0.97617,-1.83060
1677766517819000320,0.99964,-0.02401,0.01196,6.91677,-0.02603,-0.97591,0.21662,-30.03647,0.00647,-0.21686,-0.97618,-1.83060
1677766517829000192,0.99964,-0.02404,0.01189,6.91683,-0.02605,-0.97594,0.21647,-30.03641,0.00640,-0.21670,-0.97622,-1.83060
1677766517839000320,0.99964,-0.02405,0.01183,6.91689,-0.02604,-0.97598,0.21629,-30.03634,0.00634,-0.21652,-0.97626,-1.83060
1677766517849000192,0.99964,-0.02405,0.01176,6.91694,-0.02603,-0.97601,0.21615,-30.03629,0.00628,-0.21637,-0.97629,-1.83060
1677766517859000320,0.99964,-0.02403,0.01167,6.91696,-0.02599,-0.97603,0.21608,-30.03625,0.00619,-0.21631,-0.97631,-1.83050
1677766517869000192,0.99965,-0.02399,0.01155,6.91695,-0.02592,-0.97602,0.21611,-30.03625,0.00609,-0.21634,-0.97630,-1.83050
1677766517879000064,0.99965,-0.02392,0.01145,6.91691,-0.02583,-0.97600,0.21621,-30.03629,0.00600,-0.21643,-0.97628,-1.83040
1677766517889000192,0.99965,-0.02388,0.01139,6.91687,-0.02578,-0.97598,0.21633,-30.03632,0.00595,-0.21655,-0.97625,-1.83040
1677766517899000064,0.99965,-0.02391,0.01136,6.91684,-0.02581,-0.97596,0.21643,-30.03634,0.00591,-0.21664,-0.97623,-1.83040
1677766517909000192,0.99965,-0.02395,0.01137,6.91683,-0.02585,-0.97595,0.21645,-30.03635,0.00592,-0.21667,-0.97623,-1.83040
1677766517919000064,0.99965,-0.02395,0.01144,6.91684,-0.02586,-0.97596,0.21640,-30.03634,0.00598,-0.21662,-0.97624,-1.83040
1677766517929000192,0.99965,-0.02394,0.01152,6.91688,-0.02586,-0.97598,0.21631,-30.03632,0.00607,-0.21653,-0.97626,-1.83040
1677766517939000064,0.99965,-0.02395,0.01160,6.91691,-0.02589,-0.97600,0.21622,-30.03630,0.00614,-0.21644,-0.97628,-1.83050
1677766517949000192,0.99964,-0.02399,0.01165,6.91694,-0.02594,-0.97601,0.21616,-30.03635,0.00618,-0.21639,-0.97629,-1.83050
1677766517959000064,0.99964,-0.02400,0.01169,6.91694,-0.02596,-0.97601,0.21617,-30.03643,0.00622,-0.21640,-0.97629,-1.83050
1677766517969000192,0.99964,-0.02397,0.01172,6.91692,-0.02594,-0.97600,0.21623,-30.03650,0.00626,-0.21646,-0.97627,-1.83050
1677766517979000320,0.99964,-0.02395,0.01175,6.91688,-0.02593,-0.97598,0.21631,-30.03657,0.00628,-0.21654,-0.97625,-1.83050
1677766517989000448,0.99964,-0.02395,0.01175,6.91687,-0.02593,-0.97597,0.21637,-30.03661,0.00628,-0.21659,-0.97624,-1.83050
1677766517999000320,0.99964,-0.02395,0.01172,6.91686,-0.02592,-0.97596,0.21638,-30.03662,0.00626,-0.21661,-0.97624,-1.83050
1677766518009000192,0.99965,-0.02395,0.01168,6.91687,-0.02591,-0.97597,0.21635,-30.03661,0.00622,-0.21658,-0.97625,-1.83050
1677766518019000320,0.99965,-0.02395,0.01164,6.91689,-0.02590,-0.97599,0.21629,-30.03659,0.00618,-0.21651,-0.97626,-1.83050
1677766518029000192,0.99965,-0.02395,0.01162,6.91692,-0.02590,-0.97600,0.21623,-30.03657,0.00616,-0.21646,-0.97627,-1.83050
1677766518039000320,0.99965,-0.02394,0.01161,6.91695,-0.02589,-0.97601,0.21620,-30.03655,0.00615,-0.21642,-0.97628,-1.83050
1677766518049000192,0.99965,-0.02393,0.01161,6.91696,-0.02588,-0.97601,0.21620,-30.03657,0.00615,-0.21643,-0.97628,-1.83050
1677766518059000320,0.99965,-0.02394,0.01160,6.91696,-0.02588,-0.97600,0.21624,-30.03659,0.00614,-0.21647,-0.97627,-1.83050
1677766518069000192,0.99965,-0.02396,0.01159,6.91696,-0.02590,-0.97599,0.21629,-30.03663,0.00613,-0.21651,-0.97626,-1.83050
1677766518079000320,0.99965,-0.02398,0.01159,6.91696,-0.02592,-0.97598,0.21632,-30.03667,0.00613,-0.21655,-0.97625,-1.83050
1677766518089000192,0.99965,-0.02397,0.01161,6.91696,-0.02592,-0.97598,0.21633,-30.03671,0.00614,-0.21655,-0.97625,-1.83050
1677766518099000320,0.99965,-0.02396,0.01164,6.91696,-0.02591,-0.97598,0.21630,-30.03674,0.00617,-0.21653,-0.97626,-1.83050
1677766518109000192,0.99965,-0.02396,0.01166,6.91698,-0.02591,-0.97599,0.21627,-30.03678,0.00620,-0.21649,-0.97626,-1.83050
1677766518119000320,0.99964,-0.02396,0.01167,6.91699,-0.02591,-0.97600,0.21624,-30.03681,0.00621,-0.21647,-0.97627,-1.83050
1677766518129000192,0.99965,-0.02394,0.01168,6.91699,-0.02590,-0.97600,0.21624,-30.03684,0.00622,-0.21646,-0.97627,-1.83050
1677766518139000064,0.99965,-0.02392,0.01167,6.91698,-0.02588,-0.97599,0.21626,-30.03688,0.00622,-0.21648,-0.97627,-1.83050
1677766518149000192,0.99965,-0.02391,0.01167,6.91695,-0.02587,-0.97599,0.21629,-30.03692,0.00621,-0.21651,-0.97626,-1.83050
1677766518159000064,0.99965,-0.02392,0.01166,6.91692,-0.02587,-0.97598,0.21631,-30.03697,0.00621,-0.21654,-0.97625,-1.83050
1677766518169000192,0.99965,-0.02392,0.01166,6.91690,-0.02588,-0.97598,0.21632,-30.03700,0.00620,-0.21655,-0.97625,-1.83050
1677766518179000064,0.99965,-0.02393,0.01165,6.91689,-0.02589,-0.97598,0.21631,-30.03702,0.00619,-0.21653,-0.97626,-1.83050
1677766518189000192,0.99965,-0.02395,0.01164,6.91689,-0.02590,-0.97599,0.21629,-30.03704,0.00618,-0.21651,-0.97626,-1.83050
1677766518199000064,0.99965,-0.02396,0.01163,6.91689,-0.02591,-0.97599,0.21626,-30.03707,0.00617,-0.21649,-0.97627,-1.83040
1677766518209000192,0.99965,-0.02396,0.01163,6.91688,-0.02591,-0.97599,0.21625,-30.03710,0.00617,-0.21648,-0.97627,-1.83040
1677766518219000064,0.99965,-0.02395,0.01163,6.91687,-0.02590,-0.97599,0.21626,-30.03713,0.00617,-0.21648,-0.97627,-1.83040
1677766518229000448,0.99965,-0.02394,0.01163,6.91684,-0.02589,-0.97599,0.21628,-30.03718,0.00617,-0.21651,-0.97626,-1.83040
1677766518239000320,0.99965,-0.02394,0.01164,6.91681,-0.02589,-0.97598,0.21630,-30.03722,0.00618,-0.21652,-0.97626,-1.83040
1677766518249000192,0.99965,-0.02394,0.01164,6.91679,-0.02589,-0.97598,0.21630,-30.03728,0.00618,-0.21653,-0.97626,-1.83040
1677766518259000320,0.99965,-0.02393,0.01165,6.91676,-0.02589,-0.97598,0.21630,-30.03732,0.00619,-0.21652,-0.97626,-1.83040
1677766518269000192,0.99965,-0.02393,0.01165,6.91674,-0.02588,-0.97599,0.21629,-30.03735,0.00620,-0.21652,-0.97626,-1.83040
1677766518279000320,0.99965,-0.02393,0.01166,6.91672,-0.02589,-0.97599,0.21628,-30.03740,0.00620,-0.21651,-0.97626,-1.83040
1677766518289000192,0.99965,-0.02392,0.01167,6.91671,-0.02588,-0.97599,0.21628,-30.03743,0.00621,-0.21650,-0.97626,-1.83040
1677766518299000320,0.99965,-0.02392,0.01167,6.91670,-0.02588,-0.97599,0.21628,-30.03748,0.00621,-0.21651,-0.97626,-1.83040
1677766518309000192,0.99965,-0.02392,0.01167,6.91667,-0.02588,-0.97599,0.21629,-30.03751,0.00621,-0.21651,-0.97626,-1.83040
1677766518319000320,0.99965,-0.02393,0.01167,6.91666,-0.02589,-0.97598,0.21630,-30.03754,0.00621,-0.21652,-0.97626,-1.83040
1677766518329000192,0.99965,-0.02394,0.01166,6.91664,-0.02590,-0.97598,0.21630,-30.03758,0.00621,-0.21653,-0.97626,-1.83040
