timestamp (ns), n, T_wf(00), T_wf(01), T_wf(02), T_wf(03), T_wf(10), T_wf(11), T_wf(12), T_wf(13), T_wf(20), T_wf(21), T_wf(22), T_wf(23)
1686751107152723200,1,0.99991,0.00704,-0.01181,4627554.91160,-0.01374,0.48976,-0.87175,119256.22570,-0.00036,0.87183,0.48981,4373297.47750
1686751107177723136,2,0.99991,0.00704,-0.01181,4627554.91190,-0.01374,0.48976,-0.87175,119256.22570,-0.00035,0.87183,0.48981,4373297.47770
1686751107202723072,3,0.99991,0.00705,-0.01180,4627554.91210,-0.01374,0.48976,-0.87175,119256.22570,-0.00036,0.87183,0.48981,4373297.47790
1686751107227723008,4,0.99991,0.00705,-0.01182,4627554.91230,-0.01375,0.48976,-0.87175,119256.22570,-0.00035,0.87183,0.48981,4373297.47810
1686751107252722944,5,0.99991,0.00705,-0.01182,4627554.91250,-0.01375,0.48976,-0.87175,119256.22570,-0.00036,0.87183,0.48981,4373297.47830
1686751107277723136,6,0.99991,0.00705,-0.01182,4627554.91270,-0.01375,0.48977,-0.87174,119256.22570,-0.00036,0.87182,0.48982,4373297.47850
1686751107302723072,7,0.99991,0.00705,-0.01182,4627554.91290,-0.01375,0.48977,-0.87174,119256.22570,-0.00036,0.87182,0.48982,4373297.47870
1686751107327723008,8,0.99991,0.00705,-0.01181,4627554.91310,-0.01375,0.48977,-0.87174,119256.22570,-0.00036,0.87182,0.48982,4373297.47890
1686751107352723200,9,0.99991,0.00704,-0.01182,4627554.91330,-0.01375,0.48977,-0.87174,119256.22560,-0.00035,0.87182,0.48982,4373297.47910
1686751107377722880,10,0.99991,0.00704,-0.01182,4627554.91350,-0.01375,0.48977,-0.87174,119256.22560,-0.00035,0.87182,0.48982,4373297.47920
1686751107402723072,11,0.99991,0.00705,-0.01182,4627554.91360,-0.01376,0.48977,-0.87174,119256.22560,-0.00035,0.87182,0.48982,4373297.47940
1686751107427723264,12,0.99991,0.00705,-0.01182,4627554.91380,-0.01376,0.48977,-0.87174,119256.22560,-0.00036,0.87182,0.48982,4373297.47950
1686751107452722944,13,0.99991,0.00705,-0.01183,4627554.91400,-0.01376,0.48976,-0.87175,119256.22560,-0.00035,0.87183,0.48981,4373297.47970
1686751107477723136,14,0.99991,0.00705,-0.01183,4627554.91420,-0.01377,0.48976,-0.87175,119256.22560,-0.00035,0.87183,0.48981,4373297.47990
1686751107502723072,15,0.99991,0.00706,-0.01184,4627554.91440,-0.01378,0.48976,-0.87175,119256.22560,-0.00036,0.87183,0.48981,4373297.48000
1686751107527723008,16,0.99991,0.00706,-0.01184,4627554.91450,-0.01378,0.48976,-0.87175,119256.22560,-0.00036,0.87183,0.48981,4373297.48020
1686751107552723200,17,0.99991,0.00706,-0.01183,4627554.91470,-0.01377,0.48976,-0.87175,119256.22560,-0.00036,0.87183,0.48981,4373297.48030
1686751107577723136,18,0.99991,0.00707,-0.01183,4627554.91490,-0.01377,0.48976,-0.87175,119256.22550,-0.00037,0.87183,0.48981,4373297.48040
1686751107602723072,19,0.99991,0.00707,-0.01183,4627554.91500,-0.01377,0.48976,-0.87175,119256.22550,-0.00037,0.87183,0.48981,4373297.48060
1686751107627723008,20,0.99991,0.00707,-0.01183,4627554.91520,-0.01378,0.48975,-0.87175,119256.22550,-0.00037,0.87183,0.48981,4373297.48070
1686751107652723200,21,0.99990,0.00707,-0.01184,4627554.91530,-0.01378,0.48975,-0.87175,119256.22540,-0.00037,0.87183,0.48981,4373297.48080
1686751107677723136,22,0.99991,0.00706,-0.01184,4627554.91550,-0.01378,0.48976,-0.87175,119256.22540,-0.00036,0.87183,0.48981,4373297.48090
1686751107702723072,23,0.99990,0.00706,-0.01184,4627554.91560,-0.01378,0.48976,-0.87175,119256.22540,-0.00036,0.87183,0.48981,4373297.48100
1686751107727723008,24,0.99991,0.00706,-0.01184,4627554.91570,-0.01378,0.48976,-0.87175,119256.22540,-0.00035,0.87183,0.48981,4373297.48110
1686751107752722944,25,0.99991,0.00706,-0.01183,4627554.91580,-0.01377,0.48976,-0.87175,119256.22530,-0.00036,0.87183,0.48981,4373297.48120
1686751107777723136,26,0.99991,0.00706,-0.01184,4627554.91590,-0.01378,0.48976,-0.87175,119256.22530,-0.00035,0.87183,0.48981,4373297.48130
1686751107802723072,27,0.99990,0.00706,-0.01184,4627554.91600,-0.01378,0.48976,-0.87175,119256.22530,-0.00035,0.87183,0.48981,4373297.48140
1686751107827723008,28,0.99990,0.00706,-0.01184,4627554.91620,-0.01378,0.48977,-0.87174,119256.22520,-0.00036,0.87182,0.48982,4373297.48150
1686751107852723200,29,0.99991,0.00705,-0.01184,4627554.91630,-0.01378,0.48977,-0.87174,119256.22520,-0.00035,0.87182,0.48982,4373297.48160
1686751107877722880,30,0.99991,0.00705,-0.01184,4627554.91650,-0.01378,0.48977,-0.87174,119256.22520,-0.00035,0.87182,0.48982,4373297.48170
1686751107902723072,31,0.99991,0.00705,-0.01184,4627554.91660,-0.01378,0.48977,-0.87174,119256.22520,-0.00034,0.87182,0.48982,4373297.48180
1686751107927723264,32,0.99990,0.00706,-0.01185,4627554.91670,-0.01379,0.48976,-0.87175,119256.22510,-0.00035,0.87183,0.48982,4373297.48180
1686751107952722944,33,0.99990,0.00705,-0.01185,4627554.91670,-0.01378,0.48977,-0.87174,119256.22510,-0.00034,0.87182,0.48982,4373297.48180
1686751107977723136,34,0.99991,0.00705,-0.01184,4627554.91670,-0.01378,0.48978,-0.87174,119256.22510,-0.00035,0.87182,0.48983,4373297.48180
1686751108002723072,35,0.99990,0.00705,-0.01185,4627554.91680,-0.01378,0.48978,-0.87174,119256.22510,-0.00035,0.87182,0.48983,4373297.48180
1686751108027723008,36,0.99990,0.00705,-0.01185,4627554.91680,-0.01378,0.48978,-0.87174,119256.22520,-0.00035,0.87182,0.48983,4373297.48180
