timestamp,trans_x,trans_y,trans_z,quat_x,quat_y,quat_z,quat_w
1702306507.206282711,0.0133586, 0.057864, 6.37753e-05,-2.69879e-05, 4.03342e-05, -0.00220021, 0.999998
1702306508.206238102,0.0129438, 0.0150736, 0.000614585,-0.000115563, 5.08944e-05, -0.000547268, 1
1702306509.206439954,0.02218, 0.0139302, 0.00113457,-3.96493e-05, -1.56209e-05, -0.00193974, 0.999998
1702306510.206559948,0.0117446, 0.0297159, -0.00103976,0.000132675, 1.68372e-06, -0.00157474, 0.999999
1702306511.206367254,0.0281546, 0.0233992, -0.00104146,0.000132675, 1.53213e-06, -0.000420598, 1
1702306511.806538158,0.156424, 0.024669, 0.00156479,-0.000585361, -0.00155881, 0.00807498, 0.999966
1702306513.207512493,1.41357, 0.157726, -0.0328174,9.47279e-05, -0.00361822, 0.0877836, 0.996133
1702306514.8701977,2.6476, 0.355368, -0.0873803,0.00616532, -0.00204193, 0.190144, 0.981735
1702306515.210539367,3.17253, 0.796789, -0.0915729,0.00841754, -0.00315752, 0.249529, 0.968325
1702306516.209773041,4.92394, 1.69138, -0.170201,0.0181286, -0.00465998, 0.287139, 0.957706
1702306517.9544794,6.14294, 2.16786, -0.193987,0.0214565, -0.00727422, 0.271142, 0.962273
1702306518.208980827,7.85134, 3.02925, -0.256152,0.0333187, -0.0144162, 0.257152, 0.965689
1702306518.611146046,8.01662, 3.23427, -0.255436,0.0371257, -0.0155062, 0.270773, 0.961802
1702306520.209087849,10.0492, 3.90403, -0.250227,0.0183642, -0.00976343, 0.112125, 0.993476
1702306521.208586099,11.2875, 4.01596, -0.251338,0.00855322, -0.0194331, 0.0377311, 0.999062
1702306522.208244056,12.1926, 4.06062, -0.262257,0.0111295, -0.00211567, 0.0256619, 0.999606
1702306523.208715496,12.8987, 4.18699, -0.282997,0.0143957, -0.00918589, 0.0647225, 0.997757
1702306524.207833554,13.869, 4.08553, -0.289995,0.00771611, -0.0102089, 0.0424445, 0.999017
1702306525.208812365,14.635, 4.24477, -0.263918,0.012078, -0.00943897, 0.00655269, 0.999861
1702306526.209154759,15.5594, 4.19393, -0.327258,0.0117806, -0.00668099, -0.119615, 0.992728
1702306527.208592957,16.6841, 3.53514, -0.385622,-0.0042375, -0.0193415, -0.352993, 0.935416
1702306528.210425674,17.2957, 2.64492, -0.40904,-0.0108069, -0.0127418, -0.535293, 0.844501
1702306529.211771781,18.0453, 1.11868, -0.416089,-0.0207995, -0.0148629, -0.57402, 0.818442
1702306530.210499309,18.436, -0.28248, -0.408671,-0.0257079, -0.0100939, -0.621716, 0.782756
1702306531.210742507,18.6857, -1.81108, -0.382402,-0.0319501, -0.0181288, -0.621087, 0.78288
1702306532.209763300,18.9908, -3.32448, -0.388661,-0.0248185, -0.00711739, -0.62688, 0.778688
